message;severity;node;stamp;location
"Rotation goal canceled";"20";"turtle3";"1730862790.207819338";"./src/turtle.cpp:update:200"
"Rotation goal canceled";"20";"turtle1";"1730862790.203052698";"./src/turtle.cpp:update:200"
"Rotation goal canceled";"20";"turtle2";"1730862790.195849845";"./src/turtle.cpp:update:200"
"Rotation goal canceled";"20";"turtle2";"1730862788.676939294";"./src/turtle.cpp:update:200"
"Rotation goal canceled";"20";"turtle3";"1730862788.671650562";"./src/turtle.cpp:update:200"
"Rotation goal canceled";"20";"turtle1";"1730862788.667106602";"./src/turtle.cpp:update:200"
"Rotation goal canceled";"20";"turtle2";"1730862788.388827952";"./src/turtle.cpp:update:200"
"Rotation goal canceled";"20";"turtle3";"1730862788.384595496";"./src/turtle.cpp:update:200"
"Rotation goal canceled";"20";"turtle1";"1730862788.380000273";"./src/turtle.cpp:update:200"
"Rotation goal completed successfully";"20";"turtle1";"1730862774.407979934";"./src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle2";"1730862774.388149713";"./src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle3";"1730862774.383686732";"./src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle1";"1730862768.520772611";"./src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle2";"1730862768.517411500";"./src/turtle.cpp:update:222"
"Rotation goal completed successfully";"20";"turtle3";"1730862768.512606065";"./src/turtle.cpp:update:222"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtle3";"1730862688.633647612";"./src/turtle_frame.cpp:spawnTurtle:209"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtle1";"1730862688.633573502";"./src/turtle_frame.cpp:spawnTurtle:209"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtle2";"1730862688.633594575";"./src/turtle_frame.cpp:spawnTurtle:209"
"Starting turtlesim with node name /turtle2";"20";"turtle2";"1730862688.587405172";"./src/turtle_frame.cpp:TurtleFrame:112"
"Starting turtlesim with node name /turtle1";"20";"turtle1";"1730862688.586071286";"./src/turtle_frame.cpp:TurtleFrame:112"
"Starting turtlesim with node name /turtle3";"20";"turtle3";"1730862688.585975094";"./src/turtle_frame.cpp:TurtleFrame:112"
